Aberdeen ,AB
Aberdeenshire ,AB
Kincardineshire ,AB
Banffshire ,AB
Aberdeenshire,AB
Hertfordshire ,AL
West Midlands,B
Warwickshire ,B
Worcestershire ,B
Staffordshire ,B
West Midlands ,B
Somerset ,BA
Somerset,BA
Wiltshire ,BA
Lancashire ,BB
Lancashire,BB
West Yorkshire,BD
North Yorkshire,BD
Hampshire ,BH
Dorset ,BH
Lancashire ,BL
Sussex ,BN
Kent ,BR
Gloucestershire ,BS
Somerset ,BS
County Antrim ,BT
County Down ,BT
County Londonderry ,BT
County Armagh ,BT
County Tyrone ,BT
County Fermanagh ,BT
Cumberland ,CA
Westmorland ,CA
Cumbria ,CA
Cambridgeshire,CB
Essex ,CB
Cambridgeshire ,CB
Suffolk ,CB
Glamorgan ,CF
Cheshire ,CH
Flintshire ,CH
Flintshire,CH
Essex ,CM
Hertfordshire ,CM
Essex ,CO
Suffolk ,CO
Surrey ,CR
Kent ,CT
West Midlands,CV
Warwickshire ,CV
Warwickshire,CV
Cheshire ,CW
Kent ,DA
Angus ,DD
Fife ,DD
Angus,DD
Derbyshire,DE
Derbyshire ,DE
Staffordshire ,DE
Dumfries and Galloway,DG
Dumfriesshire ,DG
Kirkcudbrightshire ,DG
Wigtownshire ,DG
County Durham ,DH
County Durham ,DL
North Yorkshire,DL
South Yorkshire,DN
East Yorkshire,DN
Lincolnshire ,DN
Nottinghamshire ,DN
Dorset ,DT
Worcestershire ,DY
Staffordshire ,DY
London ,E
London ,EW
City of London ,EC
City of London ,ECA
City of London ,ECM
City of London ,ECN
City of London ,ECR
City of London ,ECV
City of London ,ECY
City of London ,ECP
Edinburgh ,EH
Midlothian ,EH
West Lothian ,EH
East Lothian ,EH
East Lothian,EH
Peeblesshire ,EH
Tweeddale,EH
West Lothian,EH
Middlesex ,EN
Hertfordshire ,EN
Essex ,EN
Devon ,EX
Cornwall ,EX
Stirlingshire ,FK
Clackmannanshire ,FK
Perthshire ,FK
Stirling ,FK
Lancashire ,FY
Lanarkshire ,G
Dunbartonshire ,G
Dunbartonshire,G
Gloucestershire,GL
Gloucestershire ,GL
Surrey ,GU
Hampshire ,GU
Hampshire,GU
Sussex ,GU
Berkshire ,GU
Middlesex ,HA
West Yorkshire,HD
North Yorkshire,HG
Hertfordshire ,HP
Buckinghamshire ,HP
Herefordshire,HR
County of Herefordshire ,HR
Outer Hebrides,HS
Ross-shire ,HS
Inverness-shire ,HS
East Yorkshire,HU
West Yorkshire,HX
Essex ,IG
Suffolk ,IP
Norfolk ,IP
Inverness-shire ,IV
Ross-shire ,IV
Highland,IV
Sutherland ,IV
Morayshire ,IV
Ayrshire ,KA
Buteshire ,KA
South Ayrshire,KA
Surrey ,KT
Caithness ,KW
Sutherland ,KW
Orkney ,KW
Fife ,KY
Kinross-Shire ,KY
Lancashire ,L
Lancashire ,LA
Cumbria,LA
Cumberland ,LA
Westmorland ,LA
Radnorshire ,LD
Brecknockshire ,LD
Leicestershire,LE
Leicestershire ,LE
Rutland ,LE
Denbighshire ,LL
Denbighshire,LL
Clwyd ,LL
Flintshire ,LL
Merioneth ,LL
Caernarfonshire ,LL
Gwynedd,LL
Anglesey ,LL
Lincolnshire,LN
Lincolnshire ,LN
West Yorkshire,LS
North Yorkshire,LS
Bedfordshire ,LU
Lancashire ,M
Cheshire ,M
Kent ,ME
Buckinghamshire ,MK
Buckinghamshire,MK
Bedfordshire,MK
Lanarkshire ,ML
South Lanarkshire,ML
London ,N
Northumberland ,NE
County Durham ,NE
Nottinghamshire,NG
Nottinghamshire ,NG
Lincolnshire ,NG
Northamptonshire,NN
Northamptonshire ,NN
Monmouthshire ,NP
Monmouthshire,NP
Brecknockshire ,NP
Norfolk ,NR
Suffolk ,NR
London ,NW
Lancashire ,OL
Oxfordshire,OX
Berkshire ,OX
Oxfordshire ,OX
Renfrewshire ,PA
Ayrshire ,PA
Buteshire ,PA
Argyllshire ,PA
Renfrewshire,PA
Northamptonshire ,PE
Lincolnshire ,PE
Cambridgeshire ,PE
